E_number,Additive_name,Country,Status,Ban_or_Restriction_Date,Reason,Regulatory_authority,Category,Banned_In_Countries,Additive_Name,Ban_Date,Region,E_Number,INS_Code,Functional_Class,India_Status,EU_Status,US_Status,Canada_Status,Japan_Status,Australia_Status,Ban_Reason,Scientific_Concern,Risk_Level
E120,Carmine,USA,Permitted,,,FDA,,,,,,,,,Permitted,,,,,,,,Low
E122,Azorubine,India,Permitted,,,FSSAI,,,,,,,,,Permitted,,,,,,,,Low
E122,Azorubine,EU,Permitted,,,EFSA,,,,,,,,,Permitted,,,,,,,,Low
E122,Azorubine,USA,Permitted,,,FDA,,,,,,,,,Permitted,,,,,,,,Low
E124,Ponceau 4R,India,Permitted,,,FSSAI,,,,,,,,,Permitted,,,,,,,,Low
E124,Ponceau 4R,EU,Permitted,,,EFSA,,,,,,,,,Permitted,,,,,,,,Low
E124,Ponceau 4R,USA,Permitted,,,FDA,,,,,,,,,Permitted,,,,,,,,Low
E127,Erythrosine,India,Permitted,,,FSSAI,,,,,,,,,Permitted,,,,,,,,Low
E127,Erythrosine,EU,Permitted,,,EFSA,,,,,,,,,Permitted,,,,,,,,Low
E127,Erythrosine,USA,Permitted,,,FDA,,,,,,,,,Permitted,,,,,,,,Low
E129,Allura Red,India,Permitted,,,FSSAI,,,,,,,,,Permitted,,,,,,,,Low
E129,Allura Red,EU,Permitted,,,EFSA,,,,,,,,,Permitted,,,,,,,,Low
E129,Allura Red,USA,Permitted,,,FDA,,,,,,,,,Permitted,,,,,,,,Low
E132,Indigo Carmine,India,Permitted,,,FSSAI,,,,,,,,,Permitted,,,,,,,,Low
E132,Indigo Carmine,EU,Permitted,,,EFSA,,,,,,,,,Permitted,,,,,,,,Low
E132,Indigo Carmine,USA,Permitted,,,FDA,,,,,,,,,Permitted,,,,,,,,Low
E133,Brilliant Blue,India,Permitted,,,FSSAI,,,,,,,,,Permitted,,,,,,,,Low
E133,Brilliant Blue,EU,Permitted,,,EFSA,,,,,,,,,Permitted,,,,,,,,Low
E133,Brilliant Blue,USA,Permitted,,,FDA,,,,,,,,,Permitted,,,,,,,,Low
E150a,Caramel I,India,Permitted,,,FSSAI,,,,,,,,,Permitted,,,,,,,,Low
E150a,Caramel I,EU,Permitted,,,EFSA,,,,,,,,,Permitted,,,,,,,,Low
E150a,Caramel I,USA,Permitted,,,FDA,,,,,,,,,Permitted,,,,,,,,Low
E150b,Caramel II,India,Permitted,,,FSSAI,,,,,,,,,Permitted,,,,,,,,Low
E150b,Caramel II,EU,Permitted,,,EFSA,,,,,,,,,Permitted,,,,,,,,Low
E150b,Caramel II,USA,Permitted,,,FDA,,,,,,,,,Permitted,,,,,,,,Low
E150c,Caramel III,India,Permitted,,,FSSAI,,,,,,,,,Permitted,,,,,,,,Low
E150c,Caramel III,EU,Permitted,,,EFSA,,,,,,,,,Permitted,,,,,,,,Low
E150c,Caramel III,USA,Permitted,,,FDA,,,,,,,,,Permitted,,,,,,,,Low
E150d,Caramel IV,India,Permitted,,,FSSAI,,,,,,,,,Permitted,,,,,,,,Low
E150d,Caramel IV,EU,Permitted,,,EFSA,,,,,,,,,Permitted,,,,,,,,Low
E150d,Caramel IV,USA,Permitted,,,FDA,,,,,,,,,Permitted,,,,,,,,Low
E160a,Beta Carotene,India,Permitted,,,FSSAI,,,,,,,,,Permitted,,,,,,,,Low
E160a,Beta Carotene,EU,Permitted,,,EFSA,,,,,,,,,Permitted,,,,,,,,Low
E160a,Beta Carotene,USA,Permitted,,,FDA,,,,,,,,,Permitted,,,,,,,,Low
E160b,Annatto,India,Permitted,,,FSSAI,,,,,,,,,Permitted,,,,,,,,Low
E160b,Annatto,EU,Permitted,,,EFSA,,,,,,,,,Permitted,,,,,,,,Low
E160b,Annatto,USA,Permitted,,,FDA,,,,,,,,,Permitted,,,,,,,,Low
E160c,Paprika Extract,India,Permitted,,,FSSAI,,,,,,,,,Permitted,,,,,,,,Low
E160c,Paprika Extract,EU,Permitted,,,EFSA,,,,,,,,,Permitted,,,,,,,,Low
E160c,Paprika Extract,USA,Permitted,,,FDA,,,,,,,,,Permitted,,,,,,,,Low
E160d,Lycopene,India,Permitted,,,FSSAI,,,,,,,,,Permitted,,,,,,,,Low
E160d,Lycopene,EU,Permitted,,,EFSA,,,,,,,,,Permitted,,,,,,,,Low
E160d,Lycopene,USA,Permitted,,,FDA,,,,,,,,,Permitted,,,,,,,,Low
E160e,Beta Apo Carotenal,India,Permitted,,,FSSAI,,,,,,,,,Permitted,,,,,,,,Low
E160e,Beta Apo Carotenal,EU,Permitted,,,EFSA,,,,,,,,,Permitted,,,,,,,,Low
E160e,Beta Apo Carotenal,USA,Permitted,,,FDA,,,,,,,,,Permitted,,,,,,,,Low
E160f,Ethyl Ester,India,Permitted,,,FSSAI,,,,,,,,,Permitted,,,,,,,,Low
E160f,Ethyl Ester,EU,Permitted,,,EFSA,,,,,,,,,Permitted,,,,,,,,Low
E160f,Ethyl Ester,USA,Permitted,,,FDA,,,,,,,,,Permitted,,,,,,,,Low
E171,Titanium Dioxide,India,Permitted,,,FSSAI,,,,,,,,,Permitted,,,,,,,,Low
E171,Titanium Dioxide,EU,Banned,2022-02-07,Genotoxicity concern (Titanium Dioxide),EFSA,,,,,,,,,Banned,,,,,,Genotoxicity concern (Titanium Dioxide),,High
E171,Titanium Dioxide,USA,Permitted,,,FDA,,,,,,,,,Permitted,,,,,,,,Low
E200,Sorbic Acid,India,Permitted,,,FSSAI,,,,,,,,,Permitted,,,,,,,,Low
E200,Sorbic Acid,EU,Permitted,,,EFSA,,,,,,,,,Permitted,,,,,,,,Low
E200,Sorbic Acid,USA,Permitted,,,FDA,,,,,,,,,Permitted,,,,,,,,Low
E202,Potassium Sorbate,India,Permitted,,,FSSAI,,,,,,,,,Permitted,,,,,,,,Low
E202,Potassium Sorbate,EU,Permitted,,,EFSA,,,,,,,,,Permitted,,,,,,,,Low
E202,Potassium Sorbate,USA,Permitted,,,FDA,,,,,,,,,Permitted,,,,,,,,Low
E210,Benzoic Acid,India,Permitted,,,FSSAI,,,,,,,,,Permitted,,,,,,,,Low
E210,Benzoic Acid,EU,Permitted,,,EFSA,,,,,,,,,Permitted,,,,,,,,Low
E210,Benzoic Acid,USA,Permitted,,,FDA,,,,,,,,,Permitted,,,,,,,,Low
E211,Sodium Benzoate,India,Permitted,,,FSSAI,,,,,,,,,Permitted,,,,,,,,Low
E211,Sodium Benzoate,EU,Permitted,,,EFSA,,,,,,,,,Permitted,,,,,,,,Low
E211,Sodium Benzoate,USA,Permitted,,,FDA,,,,,,,,,Permitted,,,,,,,,Low
E212,Potassium Benzoate,India,Permitted,,,FSSAI,,,,,,,,,Permitted,,,,,,,,Low
E212,Potassium Benzoate,EU,Permitted,,,EFSA,,,,,,,,,Permitted,,,,,,,,Low
E212,Potassium Benzoate,USA,Permitted,,,FDA,,,,,,,,,Permitted,,,,,,,,Low
E213,Calcium Benzoate,India,Permitted,,,FSSAI,,,,,,,,,Permitted,,,,,,,,Low
E213,Calcium Benzoate,EU,Permitted,,,EFSA,,,,,,,,,Permitted,,,,,,,,Low
E213,Calcium Benzoate,USA,Permitted,,,FDA,,,,,,,,,Permitted,,,,,,,,Low
E220,Sulphur Dioxide,India,Permitted,,,FSSAI,,,,,,,,,Permitted,,,,,,,,Low
E220,Sulphur Dioxide,EU,Permitted,,,EFSA,,,,,,,,,Permitted,,,,,,,,Low
E220,Sulphur Dioxide,USA,Permitted,,,FDA,,,,,,,,,Permitted,,,,,,,,Low
E221,Sodium Sulphite,India,Permitted,,,FSSAI,,,,,,,,,Permitted,,,,,,,,Low
E221,Sodium Sulphite,EU,Permitted,,,EFSA,,,,,,,,,Permitted,,,,,,,,Low
E221,Sodium Sulphite,USA,Permitted,,,FDA,,,,,,,,,Permitted,,,,,,,,Low
E222,Sodium Bisulphite,India,Permitted,,,FSSAI,,,,,,,,,Permitted,,,,,,,,Low
E222,Sodium Bisulphite,EU,Permitted,,,EFSA,,,,,,,,,Permitted,,,,,,,,Low
E222,Sodium Bisulphite,USA,Permitted,,,FDA,,,,,,,,,Permitted,,,,,,,,Low
E223,Sodium Metabisulphite,India,Permitted,,,FSSAI,,,,,,,,,Permitted,,,,,,,,Low
E223,Sodium Metabisulphite,EU,Permitted,,,EFSA,,,,,,,,,Permitted,,,,,,,,Low
E223,Sodium Metabisulphite,USA,Permitted,,,FDA,,,,,,,,,Permitted,,,,,,,,Low
E224,Potassium Metabisulphite,India,Permitted,,,FSSAI,,,,,,,,,Permitted,,,,,,,,Low
E224,Potassium Metabisulphite,EU,Permitted,,,EFSA,,,,,,,,,Permitted,,,,,,,,Low
E224,Potassium Metabisulphite,USA,Permitted,,,FDA,,,,,,,,,Permitted,,,,,,,,Low
E228,Potassium Hydrogen Sulphite,India,Permitted,,,FSSAI,,,,,,,,,Permitted,,,,,,,,Low
E228,Potassium Hydrogen Sulphite,EU,Permitted,,,EFSA,,,,,,,,,Permitted,,,,,,,,Low
E228,Potassium Hydrogen Sulphite,USA,Permitted,,,FDA,,,,,,,,,Permitted,,,,,,,,Low
E249,Potassium Nitrite,India,Permitted,,,FSSAI,,,,,,,,,Permitted,,,,,,,,Low
E249,Potassium Nitrite,EU,Permitted,,,EFSA,,,,,,,,,Permitted,,,,,,,,Low
E249,Potassium Nitrite,USA,Permitted,,,FDA,,,,,,,,,Permitted,,,,,,,,Low
E250,Sodium Nitrite,India,Permitted,,,FSSAI,,,,,,,,,Permitted,,,,,,,,Low
E250,Sodium Nitrite,EU,Permitted,,,EFSA,,,,,,,,,Permitted,,,,,,,,Low
E250,Sodium Nitrite,USA,Permitted,,,FDA,,,,,,,,,Permitted,,,,,,,,Low
E251,Sodium Nitrate,India,Permitted,,,FSSAI,,,,,,,,,Permitted,,,,,,,,Low
E251,Sodium Nitrate,EU,Permitted,,,EFSA,,,,,,,,,Permitted,,,,,,,,Low
E251,Sodium Nitrate,USA,Permitted,,,FDA,,,,,,,,,Permitted,,,,,,,,Low
E252,Potassium Nitrate,India,Permitted,,,FSSAI,,,,,,,,,Permitted,,,,,,,,Low
E252,Potassium Nitrate,EU,Permitted,,,EFSA,,,,,,,,,Permitted,,,,,,,,Low
E252,Potassium Nitrate,USA,Permitted,,,FDA,,,,,,,,,Permitted,,,,,,,,Low
E260,Acetic Acid,India,Permitted,,,FSSAI,,,,,,,,,Permitted,,,,,,,,Low
E260,Acetic Acid,EU,Permitted,,,EFSA,,,,,,,,,Permitted,,,,,,,,Low
E260,Acetic Acid,USA,Permitted,,,FDA,,,,,,,,,Permitted,,,,,,,,Low
E261,Potassium Acetate,India,Permitted,,,FSSAI,,,,,,,,,Permitted,,,,,,,,Low
E261,Potassium Acetate,EU,Permitted,,,EFSA,,,,,,,,,Permitted,,,,,,,,Low
E261,Potassium Acetate,USA,Permitted,,,FDA,,,,,,,,,Permitted,,,,,,,,Low
E262,Sodium Acetate,India,Permitted,,,FSSAI,,,,,,,,,Permitted,,,,,,,,Low
E262,Sodium Acetate,EU,Permitted,,,EFSA,,,,,,,,,Permitted,,,,,,,,Low
E262,Sodium Acetate,USA,Permitted,,,FDA,,,,,,,,,Permitted,,,,,,,,Low
E263,Calcium Acetate,India,Permitted,,,FSSAI,,,,,,,,,Permitted,,,,,,,,Low
E263,Calcium Acetate,EU,Permitted,,,EFSA,,,,,,,,,Permitted,,,,,,,,Low
E263,Calcium Acetate,USA,Permitted,,,FDA,,,,,,,,,Permitted,,,,,,,,Low
E270,Lactic Acid,India,Permitted,,,FSSAI,,,,,,,,,Permitted,,,,,,,,Low
E270,Lactic Acid,EU,Permitted,,,EFSA,,,,,,,,,Permitted,,,,,,,,Low
E270,Lactic Acid,USA,Permitted,,,FDA,,,,,,,,,Permitted,,,,,,,,Low
E280,Propionic Acid,India,Permitted,,,FSSAI,,,,,,,,,Permitted,,,,,,,,Low
E280,Propionic Acid,EU,Permitted,,,EFSA,,,,,,,,,Permitted,,,,,,,,Low
E280,Propionic Acid,USA,Permitted,,,FDA,,,,,,,,,Permitted,,,,,,,,Low
E281,Sodium Propionate,India,Permitted,,,FSSAI,,,,,,,,,Permitted,,,,,,,,Low
E281,Sodium Propionate,EU,Permitted,,,EFSA,,,,,,,,,Permitted,,,,,,,,Low
E281,Sodium Propionate,USA,Permitted,,,FDA,,,,,,,,,Permitted,,,,,,,,Low
E282,Calcium Propionate,India,Permitted,,,FSSAI,,,,,,,,,Permitted,,,,,,,,Low
E282,Calcium Propionate,EU,Permitted,,,EFSA,,,,,,,,,Permitted,,,,,,,,Low
E282,Calcium Propionate,USA,Permitted,,,FDA,,,,,,,,,Permitted,,,,,,,,Low
E283,Potassium Propionate,India,Permitted,,,FSSAI,,,,,,,,,Permitted,,,,,,,,Low
E283,Potassium Propionate,EU,Permitted,,,EFSA,,,,,,,,,Permitted,,,,,,,,Low
E283,Potassium Propionate,USA,Permitted,,,FDA,,,,,,,,,Permitted,,,,,,,,Low
E300,Ascorbic Acid,India,Permitted,,,FSSAI,,,,,,,,,Permitted,,,,,,,,Low
E300,Ascorbic Acid,EU,Permitted,,,EFSA,,,,,,,,,Permitted,,,,,,,,Low
E300,Ascorbic Acid,USA,Permitted,,,FDA,,,,,,,,,Permitted,,,,,,,,Low
E301,Sodium Ascorbate,India,Permitted,,,FSSAI,,,,,,,,,Permitted,,,,,,,,Low
E301,Sodium Ascorbate,EU,Permitted,,,EFSA,,,,,,,,,Permitted,,,,,,,,Low
E301,Sodium Ascorbate,USA,Permitted,,,FDA,,,,,,,,,Permitted,,,,,,,,Low
E302,Calcium Ascorbate,India,Permitted,,,FSSAI,,,,,,,,,Permitted,,,,,,,,Low
E302,Calcium Ascorbate,EU,Permitted,,,EFSA,,,,,,,,,Permitted,,,,,,,,Low
E302,Calcium Ascorbate,USA,Permitted,,,FDA,,,,,,,,,Permitted,,,,,,,,Low
E304,Ascorbyl Palmitate,India,Permitted,,,FSSAI,,,,,,,,,Permitted,,,,,,,,Low
E304,Ascorbyl Palmitate,EU,Permitted,,,EFSA,,,,,,,,,Permitted,,,,,,,,Low
E304,Ascorbyl Palmitate,USA,Permitted,,,FDA,,,,,,,,,Permitted,,,,,,,,Low
E306,Tocopherol,India,Permitted,,,FSSAI,,,,,,,,,Permitted,,,,,,,,Low
E306,Tocopherol,EU,Permitted,,,EFSA,,,,,,,,,Permitted,,,,,,,,Low
E306,Tocopherol,USA,Permitted,,,FDA,,,,,,,,,Permitted,,,,,,,,Low
E307,Alpha Tocopherol,India,Permitted,,,FSSAI,,,,,,,,,Permitted,,,,,,,,Low
E307,Alpha Tocopherol,EU,Permitted,,,EFSA,,,,,,,,,Permitted,,,,,,,,Low
E307,Alpha Tocopherol,USA,Permitted,,,FDA,,,,,,,,,Permitted,,,,,,,,Low
E310,Propyl Gallate,India,Permitted,,,FSSAI,,,,,,,,,Permitted,,,,,,,,Low
E310,Propyl Gallate,EU,Permitted,,,EFSA,,,,,,,,,Permitted,,,,,,,,Low
E310,Propyl Gallate,USA,Permitted,,,FDA,,,,,,,,,Permitted,,,,,,,,Low
E320,BHA,India,Permitted,,,FSSAI,,,,,,,,,Permitted,,,,,,,,Low
E320,BHA,EU,Permitted,,,EFSA,,,,,,,,,Permitted,,,,,,,,Low
E320,BHA,USA,Permitted,,,FDA,,,,,,,,,Permitted,,,,,,,,Low
E321,BHT,India,Permitted,,,FSSAI,,,,,,,,,Permitted,,,,,,,,Low
E321,BHT,EU,Permitted,,,EFSA,,,,,,,,,Permitted,,,,,,,,Low
E321,BHT,USA,Permitted,,,FDA,,,,,,,,,Permitted,,,,,,,,Low
E322,Lecithin,India,Permitted,,,FSSAI,,,,,,,,,Permitted,,,,,,,,Low
E322,Lecithin,EU,Permitted,,,EFSA,,,,,,,,,Permitted,,,,,,,,Low
E322,Lecithin,USA,Permitted,,,FDA,,,,,,,,,Permitted,,,,,,,,Low
E325,Sodium Lactate,India,Permitted,,,FSSAI,,,,,,,,,Permitted,,,,,,,,Low
E325,Sodium Lactate,EU,Permitted,,,EFSA,,,,,,,,,Permitted,,,,,,,,Low
E325,Sodium Lactate,USA,Permitted,,,FDA,,,,,,,,,Permitted,,,,,,,,Low
E326,Potassium Lactate,India,Permitted,,,FSSAI,,,,,,,,,Permitted,,,,,,,,Low
E326,Potassium Lactate,EU,Permitted,,,EFSA,,,,,,,,,Permitted,,,,,,,,Low
E326,Potassium Lactate,USA,Permitted,,,FDA,,,,,,,,,Permitted,,,,,,,,Low
E327,Calcium Lactate,India,Permitted,,,FSSAI,,,,,,,,,Permitted,,,,,,,,Low
E327,Calcium Lactate,EU,Permitted,,,EFSA,,,,,,,,,Permitted,,,,,,,,Low
E327,Calcium Lactate,USA,Permitted,,,FDA,,,,,,,,,Permitted,,,,,,,,Low
E330,Citric Acid,India,Permitted,,,FSSAI,,,,,,,,,Permitted,,,,,,,,Low
E330,Citric Acid,EU,Permitted,,,EFSA,,,,,,,,,Permitted,,,,,,,,Low
E330,Citric Acid,USA,Permitted,,,FDA,,,,,,,,,Permitted,,,,,,,,Low
E331,Sodium Citrate,India,Permitted,,,FSSAI,,,,,,,,,Permitted,,,,,,,,Low
E331,Sodium Citrate,EU,Permitted,,,EFSA,,,,,,,,,Permitted,,,,,,,,Low
E331,Sodium Citrate,USA,Permitted,,,FDA,,,,,,,,,Permitted,,,,,,,,Low
E332,Potassium Citrate,India,Permitted,,,FSSAI,,,,,,,,,Permitted,,,,,,,,Low
E332,Potassium Citrate,EU,Permitted,,,EFSA,,,,,,,,,Permitted,,,,,,,,Low
E332,Potassium Citrate,USA,Permitted,,,FDA,,,,,,,,,Permitted,,,,,,,,Low
E333,Calcium Citrate,India,Permitted,,,FSSAI,,,,,,,,,Permitted,,,,,,,,Low
E333,Calcium Citrate,EU,Permitted,,,EFSA,,,,,,,,,Permitted,,,,,,,,Low
E333,Calcium Citrate,USA,Permitted,,,FDA,,,,,,,,,Permitted,,,,,,,,Low
E338,Phosphoric Acid,India,Permitted,,,FSSAI,,,,,,,,,Permitted,,,,,,,,Low
E338,Phosphoric Acid,EU,Permitted,,,EFSA,,,,,,,,,Permitted,,,,,,,,Low
E338,Phosphoric Acid,USA,Permitted,,,FDA,,,,,,,,,Permitted,,,,,,,,Low
E339,Sodium Phosphate,India,Permitted,,,FSSAI,,,,,,,,,Permitted,,,,,,,,Low
E339,Sodium Phosphate,EU,Permitted,,,EFSA,,,,,,,,,Permitted,,,,,,,,Low
E339,Sodium Phosphate,USA,Permitted,,,FDA,,,,,,,,,Permitted,,,,,,,,Low
E340,Potassium Phosphate,India,Permitted,,,FSSAI,,,,,,,,,Permitted,,,,,,,,Low
E340,Potassium Phosphate,EU,Permitted,,,EFSA,,,,,,,,,Permitted,,,,,,,,Low
E340,Potassium Phosphate,USA,Permitted,,,FDA,,,,,,,,,Permitted,,,,,,,,Low
E341,Calcium Phosphate,India,Permitted,,,FSSAI,,,,,,,,,Permitted,,,,,,,,Low
E341,Calcium Phosphate,EU,Permitted,,,EFSA,,,,,,,,,Permitted,,,,,,,,Low
E341,Calcium Phosphate,USA,Permitted,,,FDA,,,,,,,,,Permitted,,,,,,,,Low
E407,Carrageenan,India,Permitted,,,FSSAI,,,,,,,,,Permitted,,,,,,,,Low
E407,Carrageenan,EU,Permitted,,,EFSA,,,,,,,,,Permitted,,,,,,,,Low
E407,Carrageenan,USA,Permitted,,,FDA,,,,,,,,,Permitted,,,,,,,,Low
E410,Locust Bean Gum,India,Permitted,,,FSSAI,,,,,,,,,Permitted,,,,,,,,Low
E410,Locust Bean Gum,EU,Permitted,,,EFSA,,,,,,,,,Permitted,,,,,,,,Low
E410,Locust Bean Gum,USA,Permitted,,,FDA,,,,,,,,,Permitted,,,,,,,,Low
E412,Guar Gum,India,Permitted,,,FSSAI,,,,,,,,,Permitted,,,,,,,,Low
E412,Guar Gum,EU,Permitted,,,EFSA,,,,,,,,,Permitted,,,,,,,,Low
E412,Guar Gum,USA,Permitted,,,FDA,,,,,,,,,Permitted,,,,,,,,Low
E415,Xanthan Gum,India,Permitted,,,FSSAI,,,,,,,,,Permitted,,,,,,,,Low
E415,Xanthan Gum,EU,Permitted,,,EFSA,,,,,,,,,Permitted,,,,,,,,Low
E415,Xanthan Gum,USA,Permitted,,,FDA,,,,,,,,,Permitted,,,,,,,,Low
E420,Sorbitol,India,Permitted,,,FSSAI,,,,,,,,,Permitted,,,,,,,,Low
E420,Sorbitol,EU,Permitted,,,EFSA,,,,,,,,,Permitted,,,,,,,,Low
E420,Sorbitol,USA,Permitted,,,FDA,,,,,,,,,Permitted,,,,,,,,Low
E440,Pectin,India,Permitted,,,FSSAI,,,,,,,,,Permitted,,,,,,,,Low
E440,Pectin,EU,Permitted,,,EFSA,,,,,,,,,Permitted,,,,,,,,Low
E440,Pectin,USA,Permitted,,,FDA,,,,,,,,,Permitted,,,,,,,,Low
E450,Diphosphates,India,Permitted,,,FSSAI,,,,,,,,,Permitted,,,,,,,,Low
E450,Diphosphates,EU,Permitted,,,EFSA,,,,,,,,,Permitted,,,,,,,,Low
E450,Diphosphates,USA,Permitted,,,FDA,,,,,,,,,Permitted,,,,,,,,Low
E451,Triphosphates,India,Permitted,,,FSSAI,,,,,,,,,Permitted,,,,,,,,Low
E451,Triphosphates,EU,Permitted,,,EFSA,,,,,,,,,Permitted,,,,,,,,Low
E451,Triphosphates,USA,Permitted,,,FDA,,,,,,,,,Permitted,,,,,,,,Low
E452,Polyphosphates,India,Permitted,,,FSSAI,,,,,,,,,Permitted,,,,,,,,Low
E452,Polyphosphates,EU,Permitted,,,EFSA,,,,,,,,,Permitted,,,,,,,,Low
E452,Polyphosphates,USA,Permitted,,,FDA,,,,,,,,,Permitted,,,,,,,,Low
E466,Carboxymethylcellulose,India,Permitted,,,FSSAI,,,,,,,,,Permitted,,,,,,,,Low
E466,Carboxymethylcellulose,EU,Permitted,,,EFSA,,,,,,,,,Permitted,,,,,,,,Low
E466,Carboxymethylcellulose,USA,Permitted,,,FDA,,,,,,,,,Permitted,,,,,,,,Low
E471,Mono & Diglycerides,India,Permitted,,,FSSAI,,,,,,,,,Permitted,,,,,,,,Low
E471,Mono & Diglycerides,EU,Permitted,,,EFSA,,,,,,,,,Permitted,,,,,,,,Low
E471,Mono & Diglycerides,USA,Permitted,,,FDA,,,,,,,,,Permitted,,,,,,,,Low
E472,Esters of Mono,India,Permitted,,,FSSAI,,,,,,,,,Permitted,,,,,,,,Low
E472,Esters of Mono,EU,Permitted,,,EFSA,,,,,,,,,Permitted,,,,,,,,Low
E472,Esters of Mono,USA,Permitted,,,FDA,,,,,,,,,Permitted,,,,,,,,Low
E473,Sucrose Esters,India,Permitted,,,FSSAI,,,,,,,,,Permitted,,,,,,,,Low
E473,Sucrose Esters,EU,Permitted,,,EFSA,,,,,,,,,Permitted,,,,,,,,Low
E473,Sucrose Esters,USA,Permitted,,,FDA,,,,,,,,,Permitted,,,,,,,,Low
E474,Sucroglycerides,India,Permitted,,,FSSAI,,,,,,,,,Permitted,,,,,,,,Low
E474,Sucroglycerides,EU,Permitted,,,EFSA,,,,,,,,,Permitted,,,,,,,,Low
E474,Sucroglycerides,USA,Permitted,,,FDA,,,,,,,,,Permitted,,,,,,,,Low
E475,Polyglycerol Esters,India,Permitted,,,FSSAI,,,,,,,,,Permitted,,,,,,,,Low
E475,Polyglycerol Esters,EU,Permitted,,,EFSA,,,,,,,,,Permitted,,,,,,,,Low
E475,Polyglycerol Esters,USA,Permitted,,,FDA,,,,,,,,,Permitted,,,,,,,,Low
E476,Polyglycerol Polyricinoleate,India,Permitted,,,FSSAI,,,,,,,,,Permitted,,,,,,,,Low
E476,Polyglycerol Polyricinoleate,EU,Permitted,,,EFSA,,,,,,,,,Permitted,,,,,,,,Low
E476,Polyglycerol Polyricinoleate,USA,Permitted,,,FDA,,,,,,,,,Permitted,,,,,,,,Low
E500,Sodium Carbonate,India,Permitted,,,FSSAI,,,,,,,,,Permitted,,,,,,,,Low
E500,Sodium Carbonate,EU,Permitted,,,EFSA,,,,,,,,,Permitted,,,,,,,,Low
E500,Sodium Carbonate,USA,Permitted,,,FDA,,,,,,,,,Permitted,,,,,,,,Low
E501,Potassium Carbonate,India,Permitted,,,FSSAI,,,,,,,,,Permitted,,,,,,,,Low
E501,Potassium Carbonate,EU,Permitted,,,EFSA,,,,,,,,,Permitted,,,,,,,,Low
E501,Potassium Carbonate,USA,Permitted,,,FDA,,,,,,,,,Permitted,,,,,,,,Low
E503,Ammonium Carbonate,India,Permitted,,,FSSAI,,,,,,,,,Permitted,,,,,,,,Low
E503,Ammonium Carbonate,EU,Permitted,,,EFSA,,,,,,,,,Permitted,,,,,,,,Low
E503,Ammonium Carbonate,USA,Permitted,,,FDA,,,,,,,,,Permitted,,,,,,,,Low
E541,Sodium Aluminium Phosphate,India,Permitted,,,FSSAI,,,,,,,,,Permitted,,,,,,,,Low
E541,Sodium Aluminium Phosphate,EU,Permitted,,,EFSA,,,,,,,,,Permitted,,,,,,,,Low
E541,Sodium Aluminium Phosphate,USA,Permitted,,,FDA,,,,,,,,,Permitted,,,,,,,,Low
E551,Silicon Dioxide,India,Permitted,,,FSSAI,,,,,,,,,Permitted,,,,,,,,Low
E551,Silicon Dioxide,EU,Permitted,,,EFSA,,,,,,,,,Permitted,,,,,,,,Low
E551,Silicon Dioxide,USA,Permitted,,,FDA,,,,,,,,,Permitted,,,,,,,,Low
E552,Calcium Silicate,India,Permitted,,,FSSAI,,,,,,,,,Permitted,,,,,,,,Low
E552,Calcium Silicate,EU,Permitted,,,EFSA,,,,,,,,,Permitted,,,,,,,,Low
E552,Calcium Silicate,USA,Permitted,,,FDA,,,,,,,,,Permitted,,,,,,,,Low
E553,Magnesium Silicate,India,Permitted,,,FSSAI,,,,,,,,,Permitted,,,,,,,,Low
