Product_Name,Brand,Category,Country_of_Origin,Sold_In_India,Banned_In,Reason,Key_Additives,Risk_Level,Barcode
Haldiram’s Product Variant 21,Haldiram’s,Juice,India,Yes,None,None,E202,Low,8.90085E+12
Balaji Product Variant 22,Balaji,Beverage,India,Yes,None,None,E211,Low,8.90646E+12
Tata Consumer Product Variant 23,Tata Consumer,Chocolate,India,Yes,None,None,E621,Low,8.90531E+12
Haldiram’s Product Variant 24,Haldiram’s,Chips,India,Yes,None,None,None,Low,8.90835E+12
Britannia Product Variant 25,Britannia,Candy,India,Yes,None,None,E621,Low,8.90046E+12
Paper Boat Product Variant 26,Paper Boat,Juice,India,Yes,EU,Artificial color restrictions,E110,Moderate,8.90673E+12
Amul Product Variant 27,Amul,Snack,India,Yes,None,None,None,Low,8.90152E+12
Tata Consumer Product Variant 28,Tata Consumer,Instant Noodles,India,Yes,None,None,E211,Low,8.90856E+12
Amul Product Variant 29,Amul,Breakfast Cereal,India,Yes,EU,Artificial color restrictions,E110,Moderate,8.9001E+12
Britannia Product Variant 30,Britannia,Instant Noodles,India,Yes,EU,Artificial color restrictions,E110,Moderate,8.90459E+12
Dabur Product Variant 31,Dabur,Instant Noodles,India,Yes,None,None,None,Low,8.90098E+12
Parle Product Variant 32,Parle,Juice,India,Yes,EU,Artificial color restrictions,E110,Moderate,8.90779E+12
Marico Product Variant 33,Marico,Snack,India,Yes,EU,Artificial dye concerns,E129,Moderate,8.90616E+12
Amul Product Variant 34,Amul,Beverage,India,Yes,None,None,E621,Low,8.9069E+12
Parle Product Variant 35,Parle,Breakfast Cereal,India,Yes,None,None,None,Low,8.90312E+12
Parle Product Variant 36,Parle,Candy,India,Yes,None,None,None,Low,8.90427E+12
Dabur Product Variant 37,Dabur,Breakfast Cereal,India,Yes,EU,Artificial dye concerns,E129,Moderate,8.90282E+12
Tata Consumer Product Variant 38,Tata Consumer,Instant Noodles,India,Yes,None,None,E202,Low,8.90855E+12
Haldiram’s Product Variant 39,Haldiram’s,Snack,India,Yes,None,None,E211,Low,8.90873E+12
Balaji Product Variant 40,Balaji,Breakfast Cereal,India,Yes,None,None,E202,Low,8.90526E+12
Britannia Product Variant 41,Britannia,Beverage,India,Yes,EU,Artificial dye concerns,E129,Moderate,8.90139E+12
Britannia Product Variant 42,Britannia,Chocolate,India,Yes,EU,Artificial dye concerns,E129,Moderate,8.90966E+12
Dabur Product Variant 43,Dabur,Beverage,India,Yes,None,None,None,Low,8.90798E+12
Nestlé India Product Variant 44,Nestlé India,Chocolate,India,Yes,EU,Artificial dye concerns,E129,Moderate,8.90195E+12
Paper Boat Product Variant 45,Paper Boat,Dairy Drink,India,Yes,None,None,E211,Low,8.90858E+12
Haldiram’s Product Variant 46,Haldiram’s,Dessert,India,Yes,Austria,Artificial color restrictions,E102,Moderate,8.90771E+12
Amul Product Variant 47,Amul,Dairy Drink,India,Yes,EU,Artificial color restrictions,E110,Moderate,8.90566E+12
Haldiram’s Product Variant 48,Haldiram’s,Dessert,India,Yes,None,None,E202,Low,8.90371E+12
Parle Product Variant 49,Parle,Breakfast Cereal,India,Yes,None,None,E211,Low,8.90456E+12
Amul Product Variant 50,Amul,Snack,India,Yes,None,None,E211,Low,8.90457E+12
Dabur Product Variant 51,Dabur,Instant Noodles,India,Yes,EU,Artificial color restrictions,E110,Moderate,8.90765E+12
Amul Product Variant 52,Amul,Chocolate,India,Yes,Austria,Artificial color restrictions,E102,Moderate,8.90987E+12
Dabur Product Variant 53,Dabur,Energy Drink,India,Yes,Austria,Artificial color restrictions,E102,Moderate,8.90703E+12
ITC Product Variant 54,ITC,Chocolate,India,Yes,None,None,E621,Low,8.90539E+12
Nestlé India Product Variant 55,Nestlé India,Energy Drink,India,Yes,None,None,E202,Low,8.90845E+12
Tata Consumer Product Variant 56,Tata Consumer,Candy,India,Yes,Austria,Artificial color restrictions,E102,Moderate,8.90721E+12
Marico Product Variant 57,Marico,Chocolate,India,Yes,Austria,Artificial color restrictions,E102,Moderate,8.90261E+12
Paper Boat Product Variant 58,Paper Boat,Juice,India,Yes,None,None,E621,Low,8.90143E+12
Britannia Product Variant 59,Britannia,Juice,India,Yes,Austria,Artificial color restrictions,E102,Moderate,8.90393E+12
Dabur Product Variant 60,Dabur,Candy,India,Yes,None,None,None,Low,8.90399E+12
ITC Product Variant 61,ITC,Candy,India,Yes,None,None,None,Low,8.90761E+12
Balaji Product Variant 62,Balaji,Juice,India,Yes,EU,Artificial dye concerns,E129,Moderate,8.90692E+12
ITC Product Variant 63,ITC,Breakfast Cereal,India,Yes,EU,Artificial color restrictions,E110,Moderate,8.90171E+12
Paper Boat Product Variant 64,Paper Boat,Chocolate,India,Yes,None,None,None,Low,8.90146E+12
Marico Product Variant 65,Marico,Instant Noodles,India,Yes,None,None,E202,Low,8.90168E+12
Haldiram’s Product Variant 66,Haldiram’s,Energy Drink,India,Yes,None,None,E211,Low,8.90967E+12
Amul Product Variant 67,Amul,Juice,India,Yes,None,None,E202,Low,8.9023E+12
Amul Product Variant 68,Amul,Juice,India,Yes,Austria,Artificial color restrictions,E102,Moderate,8.90456E+12
Haldiram’s Product Variant 69,Haldiram’s,Energy Drink,India,Yes,EU,Artificial color restrictions,E110,Moderate,8.90054E+12
Paper Boat Product Variant 70,Paper Boat,Dairy Drink,India,Yes,None,None,None,Low,8.9021E+12
Amul Product Variant 71,Amul,Chocolate,India,Yes,EU,Artificial dye concerns,E129,Moderate,8.90495E+12
Haldiram’s Product Variant 72,Haldiram’s,Dairy Drink,India,Yes,None,None,E211,Low,8.90052E+12
Haldiram’s Product Variant 73,Haldiram’s,Candy,India,Yes,None,None,E202,Low,8.90334E+12
Britannia Product Variant 74,Britannia,Biscuits,India,Yes,None,None,E211,Low,8.90262E+12
Amul Product Variant 75,Amul,Biscuits,India,Yes,EU,Artificial color restrictions,E110,Moderate,8.9093E+12
ITC Product Variant 76,ITC,Chocolate,India,Yes,None,None,E621,Low,8.90805E+12
ITC Product Variant 77,ITC,Candy,India,Yes,None,None,E621,Low,8.90231E+12
Paper Boat Product Variant 78,Paper Boat,Instant Noodles,India,Yes,Austria,Artificial color restrictions,E102,Moderate,8.901E+12
Britannia Product Variant 79,Britannia,Beverage,India,Yes,Austria,Artificial color restrictions,E102,Moderate,8.90719E+12
Nestlé India Product Variant 80,Nestlé India,Dessert,India,Yes,Austria,Artificial color restrictions,E102,Moderate,8.90658E+12
Parle Product Variant 81,Parle,Dairy Drink,India,Yes,EU,Artificial color restrictions,E110,Moderate,8.90253E+12
Amul Product Variant 82,Amul,Juice,India,Yes,EU,Artificial color restrictions,E110,Moderate,8.90347E+12
Marico Product Variant 83,Marico,Candy,India,Yes,None,None,None,Low,8.90142E+12
Balaji Product Variant 84,Balaji,Chips,India,Yes,Austria,Artificial color restrictions,E102,Moderate,8.90928E+12
Britannia Product Variant 85,Britannia,Candy,India,Yes,None,None,E202,Low,8.90339E+12
Nestlé India Product Variant 86,Nestlé India,Chocolate,India,Yes,None,None,E202,Low,8.9027E+12
ITC Product Variant 87,ITC,Candy,India,Yes,EU,Artificial color restrictions,E110,Moderate,8.90654E+12
Parle Product Variant 88,Parle,Beverage,India,Yes,None,None,None,Low,8.90655E+12
Nestlé India Product Variant 89,Nestlé India,Snack,India,Yes,Austria,Artificial color restrictions,E102,Moderate,8.90706E+12
Paper Boat Product Variant 90,Paper Boat,Breakfast Cereal,India,Yes,EU,Artificial color restrictions,E110,Moderate,8.90349E+12
Tata Consumer Product Variant 91,Tata Consumer,Candy,India,Yes,None,None,E211,Low,8.90909E+12
Amul Product Variant 92,Amul,Candy,India,Yes,EU,Artificial dye concerns,E129,Moderate,8.90061E+12
Dabur Product Variant 93,Dabur,Breakfast Cereal,India,Yes,None,None,E211,Low,8.90517E+12
Dabur Product Variant 94,Dabur,Snack,India,Yes,None,None,E621,Low,8.90407E+12
Tata Consumer Product Variant 95,Tata Consumer,Instant Noodles,India,Yes,None,None,E202,Low,8.90625E+12
Balaji Product Variant 96,Balaji,Energy Drink,India,Yes,EU,Artificial color restrictions,E110,Moderate,8.90329E+12
Dabur Product Variant 97,Dabur,Breakfast Cereal,India,Yes,None,None,E621,Low,8.90974E+12
Britannia Product Variant 98,Britannia,Beverage,India,Yes,EU,Artificial dye concerns,E129,Moderate,8.90233E+12
Britannia Product Variant 99,Britannia,Biscuits,India,Yes,None,None,E202,Low,8.90944E+12
Amul Product Variant 100,Amul,Breakfast Cereal,India,Yes,Austria,Artificial color restrictions,E102,Moderate,8.90663E+12
ITC Product Variant 101,ITC,Beverage,India,Yes,EU,Artificial color restrictions,E110,Moderate,8.90634E+12
Marico Product Variant 102,Marico,Juice,India,Yes,None,None,E211,Low,8.90009E+12
Dabur Product Variant 103,Dabur,Dessert,India,Yes,None,None,E621,Low,8.9073E+12
Paper Boat Product Variant 104,Paper Boat,Dairy Drink,India,Yes,EU,Artificial color restrictions,E110,Moderate,8.90203E+12
Nestlé India Product Variant 105,Nestlé India,Dessert,India,Yes,None,None,E211,Low,8.90522E+12
Marico Product Variant 106,Marico,Chips,India,Yes,EU,Artificial color restrictions,E110,Moderate,8.90871E+12
Nestlé India Product Variant 107,Nestlé India,Instant Noodles,India,Yes,None,None,E621,Low,8.90412E+12
Haldiram’s Product Variant 108,Haldiram’s,Dessert,India,Yes,None,None,E202,Low,8.90077E+12
Balaji Product Variant 109,Balaji,Energy Drink,India,Yes,None,None,E211,Low,8.90054E+12
Haldiram’s Product Variant 110,Haldiram’s,Chips,India,Yes,None,None,E211,Low,8.90925E+12
Tata Consumer Product Variant 111,Tata Consumer,Instant Noodles,India,Yes,None,None,E211,Low,8.90315E+12
Balaji Product Variant 112,Balaji,Dessert,India,Yes,None,None,E211,Low,8.90772E+12
Parle Product Variant 113,Parle,Dairy Drink,India,Yes,EU,Artificial color restrictions,E110,Moderate,8.90504E+12
Nestlé India Product Variant 114,Nestlé India,Breakfast Cereal,India,Yes,EU,Artificial dye concerns,E129,Moderate,8.90575E+12
Dabur Product Variant 115,Dabur,Dessert,India,Yes,None,None,E621,Low,8.90773E+12
Balaji Product Variant 116,Balaji,Energy Drink,India,Yes,Austria,Artificial color restrictions,E102,Moderate,8.90482E+12
ITC Product Variant 117,ITC,Biscuits,India,Yes,EU,Artificial color restrictions,E110,Moderate,8.90011E+12
Tata Consumer Product Variant 118,Tata Consumer,Breakfast Cereal,India,Yes,Austria,Artificial color restrictions,E102,Moderate,8.90365E+12
Balaji Product Variant 119,Balaji,Chips,India,Yes,None,None,E621,Low,8.90798E+12
Tata Consumer Product Variant 120,Tata Consumer,Instant Noodles,India,Yes,EU,Artificial color restrictions,E110,Moderate,8.90012E+12
Britannia Product Variant 121,Britannia,Biscuits,India,Yes,EU,Artificial dye concerns,E129,Moderate,8.90413E+12
Marico Product Variant 122,Marico,Chocolate,India,Yes,None,None,E621,Low,8.90678E+12
Parle Product Variant 123,Parle,Juice,India,Yes,None,None,E621,Low,8.90636E+12
Marico Product Variant 124,Marico,Energy Drink,India,Yes,EU,Artificial dye concerns,E129,Moderate,8.90342E+12
Amul Product Variant 125,Amul,Breakfast Cereal,India,Yes,Austria,Artificial color restrictions,E102,Moderate,8.90576E+12
Dabur Product Variant 126,Dabur,Breakfast Cereal,India,Yes,EU,Artificial dye concerns,E129,Moderate,8.90665E+12
Paper Boat Product Variant 127,Paper Boat,Breakfast Cereal,India,Yes,None,None,E621,Low,8.90153E+12
Nestlé India Product Variant 128,Nestlé India,Snack,India,Yes,None,None,E621,Low,8.90998E+12
ITC Product Variant 129,ITC,Biscuits,India,Yes,EU,Artificial color restrictions,E110,Moderate,8.90824E+12
Marico Product Variant 130,Marico,Snack,India,Yes,None,None,E202,Low,8.90844E+12
ITC Product Variant 131,ITC,Candy,India,Yes,None,None,E202,Low,8.90913E+12
ITC Product Variant 132,ITC,Chocolate,India,Yes,Austria,Artificial color restrictions,E102,Moderate,8.90987E+12
Balaji Product Variant 133,Balaji,Chocolate,India,Yes,EU,Artificial color restrictions,E110,Moderate,8.90409E+12
Britannia Product Variant 134,Britannia,Chips,India,Yes,None,None,E211,Low,8.90463E+12
Nestlé India Product Variant 135,Nestlé India,Dessert,India,Yes,EU,Artificial dye concerns,E129,Moderate,8.90475E+12
Nestlé India Product Variant 136,Nestlé India,Chocolate,India,Yes,None,None,E202,Low,8.90704E+12
Dabur Product Variant 137,Dabur,Dessert,India,Yes,EU,Artificial dye concerns,E129,Moderate,8.90308E+12
Nestlé India Product Variant 138,Nestlé India,Instant Noodles,India,Yes,None,None,E621,Low,8.90977E+12
Haldiram’s Product Variant 139,Haldiram’s,Dessert,India,Yes,EU,Artificial color restrictions,E110,Moderate,8.90011E+12
Amul Product Variant 140,Amul,Dairy Drink,India,Yes,None,None,E621,Low,8.90285E+12
Haldiram’s Product Variant 141,Haldiram’s,Energy Drink,India,Yes,Austria,Artificial color restrictions,E102,Moderate,8.90179E+12
Haldiram’s Product Variant 142,Haldiram’s,Candy,India,Yes,Austria,Artificial color restrictions,E102,Moderate,8.90529E+12
ITC Product Variant 143,ITC,Energy Drink,India,Yes,None,None,E211,Low,8.9079E+12
Haldiram’s Product Variant 144,Haldiram’s,Breakfast Cereal,India,Yes,EU,Artificial color restrictions,E110,Moderate,8.90599E+12
Paper Boat Product Variant 145,Paper Boat,Dairy Drink,India,Yes,EU,Artificial dye concerns,E129,Moderate,8.90045E+12
Nestlé India Product Variant 146,Nestlé India,Dairy Drink,India,Yes,None,None,E621,Low,8.90262E+12
ITC Product Variant 147,ITC,Chocolate,India,Yes,Austria,Artificial color restrictions,E102,Moderate,8.9025E+12
Dabur Product Variant 148,Dabur,Chips,India,Yes,None,None,None,Low,8.90965E+12
Tata Consumer Product Variant 149,Tata Consumer,Dairy Drink,India,Yes,EU,Artificial dye concerns,E129,Moderate,8.90488E+12
Britannia Product Variant 150,Britannia,Breakfast Cereal,India,Yes,None,None,E211,Low,8.90647E+12
ITC Product Variant 151,ITC,Biscuits,India,Yes,EU,Artificial dye concerns,E129,Moderate,8.90559E+12
ITC Product Variant 152,ITC,Candy,India,Yes,EU,Artificial color restrictions,E110,Moderate,8.90406E+12
Amul Product Variant 153,Amul,Biscuits,India,Yes,EU,Artificial color restrictions,E110,Moderate,8.90911E+12
Dabur Product Variant 154,Dabur,Energy Drink,India,Yes,None,None,E211,Low,8.9087E+12
Parle Product Variant 155,Parle,Biscuits,India,Yes,Austria,Artificial color restrictions,E102,Moderate,8.9082E+12
Dabur Product Variant 156,Dabur,Chocolate,India,Yes,None,None,E211,Low,8.90759E+12
Parle Product Variant 157,Parle,Breakfast Cereal,India,Yes,None,None,E202,Low,8.90949E+12
Britannia Product Variant 158,Britannia,Instant Noodles,India,Yes,EU,Artificial color restrictions,E110,Moderate,8.90651E+12
Amul Product Variant 159,Amul,Instant Noodles,India,Yes,None,None,E211,Low,8.90181E+12
Amul Product Variant 160,Amul,Juice,India,Yes,EU,Artificial dye concerns,E129,Moderate,8.9041E+12
Balaji Product Variant 161,Balaji,Biscuits,India,Yes,None,None,E211,Low,8.90797E+12
Amul Product Variant 162,Amul,Juice,India,Yes,Austria,Artificial color restrictions,E102,Moderate,8.90174E+12
Marico Product Variant 163,Marico,Breakfast Cereal,India,Yes,EU,Artificial color restrictions,E110,Moderate,8.90641E+12
Haldiram’s Product Variant 164,Haldiram’s,Beverage,India,Yes,EU,Artificial color restrictions,E110,Moderate,8.90064E+12
Britannia Product Variant 165,Britannia,Snack,India,Yes,EU,Artificial dye concerns,E129,Moderate,8.90718E+12
Britannia Product Variant 166,Britannia,Energy Drink,India,Yes,EU,Artificial color restrictions,E110,Moderate,8.90311E+12
Haldiram’s Product Variant 167,Haldiram’s,Candy,India,Yes,Austria,Artificial color restrictions,E102,Moderate,8.90004E+12
Britannia Product Variant 168,Britannia,Candy,India,Yes,EU,Artificial dye concerns,E129,Moderate,8.90944E+12
Tata Consumer Product Variant 169,Tata Consumer,Biscuits,India,Yes,EU,Artificial color restrictions,E110,Moderate,8.90061E+12
Tata Consumer Product Variant 170,Tata Consumer,Breakfast Cereal,India,Yes,None,None,E211,Low,8.90688E+12
Haldiram’s Product Variant 171,Haldiram’s,Dairy Drink,India,Yes,Austria,Artificial color restrictions,E102,Moderate,8.90513E+12
Dabur Product Variant 172,Dabur,Dessert,India,Yes,None,None,None,Low,8.9056E+12
Haldiram’s Product Variant 173,Haldiram’s,Chips,India,Yes,None,None,E211,Low,8.90344E+12
Nestlé India Product Variant 174,Nestlé India,Juice,India,Yes,EU,Artificial dye concerns,E129,Moderate,8.90187E+12
Parle Product Variant 175,Parle,Dessert,India,Yes,EU,Artificial color restrictions,E110,Moderate,8.90408E+12
Parle Product Variant 176,Parle,Chocolate,India,Yes,EU,Artificial dye concerns,E129,Moderate,8.90312E+12
Parle Product Variant 177,Parle,Breakfast Cereal,India,Yes,EU,Artificial dye concerns,E129,Moderate,8.90631E+12
Nestlé India Product Variant 178,Nestlé India,Juice,India,Yes,None,None,E621,Low,8.90744E+12
Nestlé India Product Variant 179,Nestlé India,Instant Noodles,India,Yes,EU,Artificial dye concerns,E129,Moderate,8.90783E+12
Parle Product Variant 180,Parle,Biscuits,India,Yes,None,None,E211,Low,8.90117E+12
Parle Product Variant 181,Parle,Chocolate,India,Yes,None,None,E211,Low,8.90719E+12
Dabur Product Variant 182,Dabur,Beverage,India,Yes,None,None,None,Low,8.9024E+12
Balaji Product Variant 183,Balaji,Chocolate,India,Yes,EU,Artificial dye concerns,E129,Moderate,8.90308E+12
Paper Boat Product Variant 184,Paper Boat,Snack,India,Yes,Austria,Artificial color restrictions,E102,Moderate,8.90084E+12
ITC Product Variant 185,ITC,Energy Drink,India,Yes,None,None,E621,Low,8.90821E+12
Paper Boat Product Variant 186,Paper Boat,Instant Noodles,India,Yes,None,None,E211,Low,8.9052E+12
Dabur Product Variant 187,Dabur,Beverage,India,Yes,EU,Artificial dye concerns,E129,Moderate,8.90658E+12
Britannia Product Variant 188,Britannia,Juice,India,Yes,None,None,None,Low,8.90066E+12
Dabur Product Variant 189,Dabur,Breakfast Cereal,India,Yes,None,None,E202,Low,8.90189E+12
Marico Product Variant 190,Marico,Chips,India,Yes,None,None,E621,Low,8.90001E+12
Nestlé India Product Variant 191,Nestlé India,Beverage,India,Yes,None,None,E621,Low,8.90356E+12
Amul Product Variant 192,Amul,Chocolate,India,Yes,EU,Artificial color restrictions,E110,Moderate,8.9027E+12
Balaji Product Variant 193,Balaji,Breakfast Cereal,India,Yes,Austria,Artificial color restrictions,E102,Moderate,8.90797E+12
Paper Boat Product Variant 194,Paper Boat,Candy,India,Yes,None,None,E202,Low,8.90451E+12
Balaji Product Variant 195,Balaji,Snack,India,Yes,None,None,E211,Low,8.9012E+12
Britannia Product Variant 196,Britannia,Candy,India,Yes,None,None,E202,Low,8.90005E+12
Parle Product Variant 197,Parle,Energy Drink,India,Yes,EU,Artificial dye concerns,E129,Moderate,8.90863E+12
Haldiram’s Product Variant 198,Haldiram’s,Chips,India,Yes,None,None,E621,Low,8.90759E+12
Parle Product Variant 199,Parle,Dessert,India,Yes,EU,Artificial dye concerns,E129,Moderate,8.9018E+12
Haldiram’s Product Variant 200,Haldiram’s,Dessert,India,Yes,None,None,None,Low,8.90709E+12
Tata Consumer Product Variant 201,Tata Consumer,Dessert,India,Yes,None,None,E621,Low,8.90866E+12
Marico Product Variant 202,Marico,Chips,India,Yes,Austria,Artificial color restrictions,E102,Moderate,8.90165E+12
Nestlé India Product Variant 203,Nestlé India,Juice,India,Yes,None,None,E211,Low,8.90331E+12
Haldiram’s Product Variant 204,Haldiram’s,Chocolate,India,Yes,None,None,E202,Low,8.90124E+12
Tata Consumer Product Variant 205,Tata Consumer,Beverage,India,Yes,EU,Artificial color restrictions,E110,Moderate,8.90631E+12
Nestlé India Product Variant 206,Nestlé India,Snack,India,Yes,None,None,E621,Low,8.90997E+12
Balaji Product Variant 207,Balaji,Dessert,India,Yes,None,None,None,Low,8.9065E+12
Dabur Product Variant 208,Dabur,Beverage,India,Yes,EU,Artificial color restrictions,E110,Moderate,8.9065E+12
Marico Product Variant 209,Marico,Energy Drink,India,Yes,None,None,E621,Low,8.90473E+12
Balaji Product Variant 210,Balaji,Dairy Drink,India,Yes,None,None,E211,Low,8.90217E+12
Britannia Product Variant 211,Britannia,Energy Drink,India,Yes,EU,Artificial color restrictions,E110,Moderate,8.90583E+12
Paper Boat Product Variant 212,Paper Boat,Dessert,India,Yes,None,None,None,Low,8.90456E+12
Nestlé India Product Variant 213,Nestlé India,Dessert,India,Yes,None,None,E211,Low,8.90479E+12
Britannia Product Variant 214,Britannia,Chocolate,India,Yes,None,None,None,Low,8.90636E+12
Parle Product Variant 215,Parle,Dessert,India,Yes,None,None,E202,Low,8.90341E+12
Britannia Product Variant 216,Britannia,Beverage,India,Yes,None,None,E621,Low,8.90179E+12
Balaji Product Variant 217,Balaji,Energy Drink,India,Yes,EU,Artificial color restrictions,E110,Moderate,8.90086E+12
Amul Product Variant 218,Amul,Chocolate,India,Yes,None,None,E211,Low,8.90919E+12
Balaji Product Variant 219,Balaji,Energy Drink,India,Yes,EU,Artificial color restrictions,E110,Moderate,8.90983E+12
ITC Product Variant 220,ITC,Snack,India,Yes,Austria,Artificial color restrictions,E102,Moderate,8.90301E+12
Amul Product Variant 221,Amul,Snack,India,Yes,None,None,None,Low,8.90267E+12
Amul Product Variant 222,Amul,Chocolate,India,Yes,Austria,Artificial color restrictions,E102,Moderate,8.90512E+12
Dabur Product Variant 223,Dabur,Chocolate,India,Yes,None,None,None,Low,8.908E+12
Amul Product Variant 224,Amul,Energy Drink,India,Yes,None,None,None,Low,8.90012E+12
Balaji Product Variant 225,Balaji,Biscuits,India,Yes,None,None,None,Low,8.90304E+12
Parle Product Variant 226,Parle,Dessert,India,Yes,EU,Artificial dye concerns,E129,Moderate,8.90577E+12
Britannia Product Variant 227,Britannia,Biscuits,India,Yes,Austria,Artificial color restrictions,E102,Moderate,8.90104E+12
Marico Product Variant 228,Marico,Snack,India,Yes,Austria,Artificial color restrictions,E102,Moderate,8.90247E+12
Parle Product Variant 229,Parle,Candy,India,Yes,None,None,None,Low,8.90415E+12
Nestlé India Product Variant 230,Nestlé India,Energy Drink,India,Yes,EU,Artificial color restrictions,E110,Moderate,8.90917E+12
Amul Product Variant 231,Amul,Candy,India,Yes,Austria,Artificial color restrictions,E102,Moderate,8.90918E+12
Marico Product Variant 232,Marico,Beverage,India,Yes,Austria,Artificial color restrictions,E102,Moderate,8.90141E+12
Marico Product Variant 233,Marico,Snack,India,Yes,EU,Artificial color restrictions,E110,Moderate,8.90765E+12
Paper Boat Product Variant 234,Paper Boat,Biscuits,India,Yes,None,None,E621,Low,8.90258E+12
Britannia Product Variant 235,Britannia,Instant Noodles,India,Yes,EU,Artificial dye concerns,E129,Moderate,8.90589E+12
Britannia Product Variant 236,Britannia,Instant Noodles,India,Yes,EU,Artificial color restrictions,E110,Moderate,8.90981E+12
Britannia Product Variant 237,Britannia,Chocolate,India,Yes,EU,Artificial dye concerns,E129,Moderate,8.90732E+12
ITC Product Variant 238,ITC,Dairy Drink,India,Yes,None,None,None,Low,8.90939E+12
Parle Product Variant 239,Parle,Dairy Drink,India,Yes,None,None,E621,Low,8.9054E+12
Marico Product Variant 240,Marico,Dairy Drink,India,Yes,None,None,E211,Low,8.90047E+12
ITC Product Variant 241,ITC,Candy,India,Yes,None,None,E621,Low,8.90567E+12
Tata Consumer Product Variant 242,Tata Consumer,Chips,India,Yes,EU,Artificial color restrictions,E110,Moderate,8.90561E+12
Paper Boat Product Variant 243,Paper Boat,Snack,India,Yes,EU,Artificial color restrictions,E110,Moderate,8.90814E+12
Haldiram’s Product Variant 244,Haldiram’s,Beverage,India,Yes,EU,Artificial color restrictions,E110,Moderate,8.90021E+12
ITC Product Variant 245,ITC,Instant Noodles,India,Yes,EU,Artificial dye concerns,E129,Moderate,8.90484E+12
Marico Product Variant 246,Marico,Instant Noodles,India,Yes,Austria,Artificial color restrictions,E102,Moderate,8.907E+12
Paper Boat Product Variant 247,Paper Boat,Chocolate,India,Yes,None,None,None,Low,8.90043E+12
Dabur Product Variant 248,Dabur,Chips,India,Yes,None,None,E211,Low,8.90616E+12
Balaji Product Variant 249,Balaji,Biscuits,India,Yes,None,None,E202,Low,8.90985E+12
Balaji Product Variant 250,Balaji,Instant Noodles,India,Yes,None,None,E211,Low,8.90612E+12
Dabur Product Variant 251,Dabur,Biscuits,India,Yes,None,None,E621,Low,8.90875E+12
Haldiram’s Product Variant 252,Haldiram’s,Dessert,India,Yes,Austria,Artificial color restrictions,E102,Moderate,8.90031E+12
Parle Product Variant 253,Parle,Breakfast Cereal,India,Yes,EU,Artificial color restrictions,E110,Moderate,8.90583E+12
Balaji Product Variant 254,Balaji,Biscuits,India,Yes,None,None,E621,Low,8.90933E+12
Nestlé India Product Variant 255,Nestlé India,Energy Drink,India,Yes,None,None,E202,Low,8.90422E+12
Nestlé India Product Variant 256,Nestlé India,Beverage,India,Yes,EU,Artificial dye concerns,E129,Moderate,8.90222E+12
Dabur Product Variant 257,Dabur,Dessert,India,Yes,None,None,E621,Low,8.901E+12
Amul Product Variant 258,Amul,Dessert,India,Yes,None,None,None,Low,8.90038E+12
Balaji Product Variant 259,Balaji,Chocolate,India,Yes,None,None,None,Low,8.90965E+12
Balaji Product Variant 260,Balaji,Chips,India,Yes,EU,Artificial color restrictions,E110,Moderate,8.90647E+12
